"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"41","12835_12_pcw_VFC_s2b",0.693362789928496,0,0.0334644246645337,0.00455569484065121,0.26861709056632
"42","12835_12_pcw_STC_s2b",0.751709917289306,0,0.0347407751420922,0,0.213549307568601
"43","12835_12_pcw_IPC_s2b",0.728984559338978,0,0.0320015676209016,0,0.239013873040121
"44","12835_12_pcw_OFC_s2b",0.683475378734123,0,0.0325268566575995,0,0.283997764608277
"45","12835_12_pcw_S1C_s2b",0.751640240391317,0,0.0266445305854245,0,0.221715229023259
"46","12960_12_pcw_STC_s2b",0.765990559941043,0,0.0465129864985107,0,0.187496453560446
"47","12960_12_pcw_V1C_s2b",0.73315749700344,0,0.0594999228661331,0,0.207342580130426
"48","12960_12_pcw_A1C_s2b",0.793688888684145,0,0.0495177273304307,0,0.156793383985425
"49","12960_12_pcw_CB_s2b",0.724635100994227,0,0.0377269167883842,0.00653992755917874,0.23109805465821
"50","12960_12_pcw_ITC_s2b",0.735735540266307,0,0.0778072965065499,0,0.186457163227143
"51","12960_12_pcw_IPC_s2b",0.790540427355043,0,0.0413818156744092,0,0.168077756970548
"52","12960_12_pcw_S1C_s2b",0.765125362631957,0,0.0364220251709368,0.000668693787752426,0.197783918409354
"53","12960_12_pcw_DTH_s2b",0.766735579658476,0,0.00571714907588834,0,0.227547271265636
"54","12960_12_pcw_HIP_s2b",0.539131629607906,0.0275332534584206,0.0416722932965002,0.000442218208835594,0.391220605428338
"55","12960_12_pcw_DFC_s2b",0.782629963472052,0,0.0539754871459795,0.00626010965038535,0.157134439731583
"56","12960_12_pcw_OFC_s2b",0.703396968771087,0,0.0571095920959341,0.0101946561743987,0.229298782958581
"57","12960_12_pcw_M1C_s2b",0.829297927535975,0,0.0255443764987972,0,0.145157695965228
"58","12960_12_pcw_VFC_s2b",0.75320622690719,0,0.0440519872944657,0.00428186085498417,0.19845992494336
"59","12960_12_pcw_AMY_s2b",0.694618442694809,0,0.0108426531417185,0,0.294538904163472
"60","12960_12_pcw_STR_s2b",0.667328050979817,0,0.0170220709070042,0,0.315649878113179
"61","13060_12_pcw_AMY_s2b",0.689689000505986,0,0.0273729653990951,0.00242156721143925,0.28051646688348
"62","13060_12_pcw_M1C_s2b",0.759659236213051,0,0.0411779654410798,0,0.199162798345869
"63","13060_12_pcw_ITC_s2b",0.695227192408668,0,0.0615738280803534,0.00267924608401451,0.240519733426964
"64","13060_12_pcw_VFC_s2b",0.684958493207162,0,0.0442691430549709,0.0111630705124098,0.259609293225457
"65","13060_12_pcw_STR_s2b",0.766426730519108,0,0.0100309383765287,0,0.223542331104363
"66","13060_12_pcw_CBC_s2b",0.647041407453829,0,0.0395870320814436,0.00407393311975409,0.309297627344973
"67","13060_12_pcw_DTH_s2b",0.733549675186258,0,0.0157561472726945,0,0.250694177541048
"68","13060_12_pcw_DFC_s2b",0.73277461068792,0,0.038610544648505,0.00621830110977773,0.222396543553797
"69","13060_12_pcw_OFC_s2b",0.75572110120343,0,0.0475680059459449,0.00675337459447226,0.189957518256153
"70","13060_12_pcw_S1C_s2b",0.759668417202474,0,0.0418579350777826,0,0.198473647719744
"71","13060_12_pcw_V1C_s2b",0.744642182906605,0,0.0636564784236506,0,0.191701338669744
