"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"50","GTEX-11EI6-0011-R1a-SM-DO93L",0.232057618538202,0.211010268505616,0,0.180078270544749,0.376853842411433
"51","GTEX-11EI6-0011-R8a-SM-DO93M",0.0800743186941164,0.220108536151981,0.0136045611354171,0.342991788957497,0.343220795060989
"52","GTEX-11EI6-2926-SM-5985U",0.526698435053918,0.118767714379658,0,0.00410398022376222,0.350429870342661
"53","GTEX-11EI6-3026-SM-5GZZO",0.31943876012467,0.385409619977609,0,0.000749549716916093,0.294402070180805
"54","GTEX-11EMC-0011-R10a-SM-DNZZJ",0.635067264993818,0.162568387415852,0,0.00591501005245858,0.196449337537871
"55","GTEX-11EMC-0011-R11b-SM-DNZZK",0.804370860940834,0.0216846806800665,0.00125008684629966,0.00815133032331982,0.16454304120948
"56","GTEX-11EMC-0011-R2b-SM-DO114",0,0.152475591483047,0,0.462315041183075,0.385209367333878
"57","GTEX-11EMC-0011-R8b-SM-DO91Z",0,0.0691777561031265,0,0.475577070563735,0.455245173333139
"58","GTEX-11EMC-0011-R9b-SM-DO921",0,0.0509509184460033,0.00647299119877016,0.714765731875765,0.227810358479461
"59","GTEX-11EMC-3226-SM-5EGKW",0.307506569465297,0.375508813219597,0,0.00427699072908543,0.31270762658602
"60","GTEX-11EMC-3326-SM-5P9JH",0.548581617869995,0.233302849336252,0,0,0.218115532793752
"61","GTEX-11GS4-0011-R1a-SM-DO129",0.472289631632166,0.258027835830984,0,0.0573863680922681,0.212296164444581
"62","GTEX-11GS4-0011-R2a-SM-DO942",0,0.206096072962284,0,0.501035865460177,0.292868061577539
"63","GTEX-11GS4-3126-SM-5A5LH",0.276179058748438,0.158347756914316,0,0.357855691310039,0.207617493027207
"64","GTEX-11GSO-0011-R1b-SM-57WD3",0,0.213957066898955,0,0.565345893300848,0.220697039800198
"65","GTEX-11GSO-0011-R2a-SM-57WDF",0.0382317811321371,0.22342475221029,0,0.446411520895451,0.291931945762122
"66","GTEX-11GSO-0011-R3b-SM-57WB2",0.73174643432606,0.105549264730625,0,0,0.162704300943315
"67","GTEX-11GSO-2926-SM-5HL73",0.469551750016336,0.267023661268801,0,0.0328789798427849,0.230545608872078
"68","GTEX-11GSO-3026-SM-5Q5AL",0.573282462346668,0.071489011895002,0,0.161617425924604,0.193611099833726
"69","GTEX-11GSP-0011-R10a-SM-5NQ7J",0.130883428623846,0.495970787737732,0,0.150811212410274,0.222334571228148
