"Structure","Cell Type","DonorID","Regions","Structure Acroynm","Age Interval","Major Cell Type","nCount","nFeature"
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",15200,4887
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",6956,3368
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5469,2890
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",4501,2499
"Cer","Cer-ExN-2","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",5363,2667
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",10599,3699
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8984,3618
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",11700,4433
"Cer","Cer-ExN-3","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",7559,3435
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",9149,3904
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",7425,3287
"Cer","Cer-ExN-3","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",5240,2512
"Cer","Cer-ExN-3","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",8434,3453
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8932,3555
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",5409,2585
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",7896,3542
"Cer","Cer-ExN-2","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",5967,2675
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",4433,2370
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5323,2978
"Cer","Cer-InN-4","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",15523,4826
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5955,2795
"Cer","Cer-ExN-2","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",4373,2313
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",9986,3849
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",10697,3943
"Cer","Cer-ExN-4","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",5021,2562
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",11767,3924
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",11347,4212
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7186,3300
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",7008,2836
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",15607,4666
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",4340,2317
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",10889,4397
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",4601,2340
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",2890,1973
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",8997,3268
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",8021,3307
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5431,2760
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7140,3237
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",12445,4416
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5104,2587
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",9169,3549
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",8287,3793
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",10067,3744
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9085,3852
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",12110,4572
"Cer","Cer-OPC","611_donorID","Cerebellum","CB","13-15pcw","OPC",10766,3606
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",12912,4449
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5083,2631
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",9905,3960
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",11676,4048
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5961,2933
"Cer","Cer-InN-4","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5557,2998
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6877,3306
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9771,4088
"Cer","Cer-ExN-5","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",7525,3511
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",13191,4179
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9250,3965
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8218,3497
"Cer","Cer-OPC","611_donorID","Cerebellum","CB","13-15pcw","OPC",7805,3063
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",12639,4251
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",4687,2394
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",10065,3783
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",8011,3573
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8663,3545
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",10874,3824
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",8752,3687
"Cer","Cer-Endo","611_donorID","Cerebellum","CB","13-15pcw","Endothelial",2099,1430
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5615,2795
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",9549,3504
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7163,3413
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",10847,3998
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5154,2744
"Cer","Cer-InN-4","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",10643,3935
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",6443,3082
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6214,3067
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",6898,3020
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6975,3442
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5580,2747
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",12028,4220
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9297,3706
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9851,4322
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6819,3431
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",11022,4114
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6590,3177
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",4886,2685
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",11940,4162
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5505,2899
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8474,3630
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",8660,3725
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",6950,3126
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",7902,3599
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",14942,4877
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6336,3000
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",3325,2089
"Cer","Cer-InN-6","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",3738,2038
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",8981,3489
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",12334,4266
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8077,3306
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6482,3120
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",10039,3759
