Structure,Cell Type,DonorID,Regions,Structure Acroynm,Age Interval,Major Cell Type,nCount,nFeature,SampleID
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1847,1179,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1625,1164,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1306,995,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1954,1297,611_Tha_B2
Thal,Thal-ExN-1,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,3848,2124,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1548,1131,611_Tha_B2
Thal,Thal-InN-4,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1707,1189,611_Tha_B2
Thal,Thal-InN-7,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1624,1185,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2122,1391,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1410,1020,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1429,987,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1732,1135,611_Tha_B2
Thal,Thal-RG-4,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,3860,2067,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2361,1412,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1487,1027,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1347,1023,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1412,1021,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1330,994,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1547,1091,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1495,1045,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1907,1231,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,2361,1648,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1577,1121,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1895,1368,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2539,1423,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1869,1211,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1600,1100,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1552,1097,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1428,1101,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1419,1013,611_Tha_B2
