"","SampleID","Age Interval","Period","DonorID","Sex","Structure Acronym","Regions","Hemisphere","PMI (hours)","Sequencing Batch","Chimeric Pairs","Percent aligned ChrX","Percent aligned ChrY","AUC all percentage","AUC unique percentage","Mode Fragment Length Count","Exonic Rate","Total fragments assigned exon fc","Total fragments count unique exon fc","Total fragments count unique assigned exon fc","Total Assigned Gene","Intronic Rate","Percentage mapped multi loci STAR","Percentage mapped too many loci STAR","Percentage unmapped other STAR","Reads Mapped","Total N Reads","Mapping Rate","Mapping Rate unique","Mapping Rate both","Junction count","Mapped Pairs","Percentage mapped multi loci both STAR","Percentage mapped too many loci both STAR"
"436","ERR1473387","8-9pcw","Prenatal","11815_donorID","F","HB/C","Hindbrain","",NA,"sequencing batch:FC2014_032",2.53,2.45,0.01,131.73,137.08,310034,75.31,40280584,77529880,40280584,40437267,6.43,10.96,0.06,0.03,53484390,54460182,87.25,47517424,98.2,312276,53484390,11,0.1
"437","ERR1473388","10-12pcw","Prenatal","11834_donorID","M","HB/C","Hindbrain","",3.83333333333333,"sequencing batch:FC2014_055",9.42,2.69,0.07,139.89,143.34,185081,83.45,27903163,42136274,27903163,27482047,3.85,7.05,0.04,0.01,33435826,34455659,89.99,31005653,97,243371,33435826,7.1,0
"438","ERR1473389","16-18pcw","Prenatal","1115_donorID","Unknown","HIP","Forebrain","R",0.583333333333333,"sequencing batch:FC2014_050",0.77,2.35,0.01,129.96,138.45,285943,76.49,36462355,80625023,36462355,36852760,3.86,15.04,0.05,0.01,47670641,49174478,81.9,40275808,96.9,218161,47670641,15,0
"439","ERR1473389","16-18pcw","Prenatal","1115_donorID","Unknown","HIP","Forebrain","R",0.583333333333333,"sequencing batch:FC2014_050",0.77,2.35,0.01,129.96,138.45,285943,76.49,36462355,80625023,36462355,36852760,3.86,15.04,0.05,0.01,47670641,49174478,81.9,40275808,96.9,218161,47670641,15,0
"440","ERR1473390","16-18pcw","Prenatal","1107_donorID","Unknown","HIP","Forebrain","R",0.75,"sequencing batch:FC2014_050",1.77,1.58,0.04,127.87,141.74,295080,73.42,33192071,93021951,33192071,33455890,2.62,20.04,0.06,0.01,45210753,46261230,77.69,35940297,97.7,214846,45210753,20,0.1
"441","ERR1473390","16-18pcw","Prenatal","1107_donorID","Unknown","HIP","Forebrain","R",0.75,"sequencing batch:FC2014_050",1.77,1.58,0.04,127.87,141.74,295080,73.42,33192071,93021951,33192071,33455890,2.62,20.04,0.06,0.01,45210753,46261230,77.69,35940297,97.7,214846,45210753,20,0.1
"442","ERR1473391","8-9pcw","Prenatal","11823_donorID","M","MEDU","Hindbrain","",2,"sequencing batch:FC2014_038",2.87,2.47,0.07,132.13,137.2,244190,76.34,35857532,66748112,35857532,35538250,6.77,9.56,0.05,0.02,46970445,48243398,87.8,42358874,97.4,292980,46970445,9.6,0.1
"443","ERR1473392","8-9pcw","Prenatal","11826_donorID","F","MEDU","Hindbrain","",2,"sequencing batch:FC2014_038",3.04,2.81,0.01,131.03,134.79,237309,74.45,33290737,59004920,33290737,32812762,8.4,7.58,0.06,0.03,44717309,46008418,89.61,41230078,97.2,300451,44717309,7.6,0.1
"444","ERR1473393","8-9pcw","Prenatal","11827_donorID","F","MEDU","Hindbrain","",2,"sequencing batch:FC2014_038",2.55,2.97,0.01,132.04,135.54,264141,75.65,37782748,64943763,37782748,37171962,8,7.49,0.05,0.03,49941317,51249079,89.96,46102972,97.4,299122,49941317,7.5,0.1
"445","ERR1473394","8-9pcw","Prenatal","11846_donorID","F","MEDU","Hindbrain","",30,"sequencing batch:FC2014_030",4.08,3.01,0.01,134.22,137.29,232311,80.1,37876050,59218867,37876050,37197898,5.56,6.73,0.05,0.02,47285075,48055895,91.66,44049949,98.4,299776,47285075,6.7,0
"446","ERR1473395","8-9pcw","Prenatal","11884_donorID","F","MEDU","Hindbrain","",3.83333333333333,"sequencing batch:FC2014_030",1.78,2.42,0.01,129.97,136.54,257952,75.33,32726974,67302547,32726974,32473434,5.99,11.35,0.05,0.02,43445363,44514130,86.25,38394453,97.6,279862,43445363,11.3,0
"447","ERR1473396","8-9pcw","Prenatal","11918_donorID","F","MEDU","Hindbrain","",2,"sequencing batch:FC2014_030",3.12,2.93,0.01,131.99,135.48,261976,78.12,34968683,58046089,34968683,34510870,6.52,7.41,0.05,0.02,44763210,45558459,90.85,41388802,98.3,287438,44763210,7.4,0
"448","ERR1473397","8-9pcw","Prenatal","11828_donorID","F","MEDU","Hindbrain","",NA,"sequencing batch:FC2014_035",1.48,2.93,0.01,127.22,130.34,153619,68.49,22637418,42292069,22637418,22309436,13.22,7.01,0.07,0.04,33050132,33753682,90.9,30683294,97.9,264175,33050132,7,0.1
"449","ERR1473398","8-9pcw","Prenatal","11829_donorID","M","MEDU","Hindbrain","",3,"sequencing batch:FC2014_035",2.64,2.8,0.09,131.99,135.03,227923,74.89,31633356,53537341,31633356,31162110,9.04,6.97,0.06,0.03,42238183,42967369,91.34,39245202,98.3,285958,42238183,7,0.1
