"","DonorID","`Proportion of Neurons (MultiBrain)`","Regions","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Period","`Proportion of Oligodendrocytes (MultiBrain)`","`PMI (hours)`","`Age (Numeric)`","RIN","pH","`Dissection Score`","Sex","Residuals"
"ENSG00000003056",0.383533081796148,0.0828078170440455,0,0.0201079191572263,0.0164688464627847,0,0.0395892323315533,0.0716149642511847,0.145182044231486,0.0343658307009772,0.00554712056107891,0.000723535565973699,4.05077413253647e-10,0.200059607492465
"ENSG00000003096",0.0230486432871435,0.0698425240058616,0.340421106835518,0.0203468362271267,0.0169705493121451,0.213219232516263,0.0122695780029893,3.50912327961869e-06,0.000301773335079912,6.22315243548727e-05,4.52206846298904e-05,5.6955733522941e-07,9.38589946190843e-10,0.303468224649684
"ENSG00000003137",0.039307260834533,0.0193135694251244,0.542784557945366,0.00257851473049625,0.0202179232948456,0.168860350098297,0.0143810548358683,0.000124602470750215,0.000135989158852303,0.00686818823073894,0.000587639265580207,0.000723798074597024,1.09143987741133e-11,0.184116551624036
"ENSG00000003147",0.121070516343776,0.36251482500869,0.0126598532674996,0.0694633804460597,0.0243973924025586,0.197358739611037,0.0464170280115952,0.00167471977888429,0.00308357638715398,0.00220447520966502,0.000373585197088672,0.00019109361975716,4.35993070419533e-12,0.158590814711875
"ENSG00000003249",0.210928354325466,0.157210413350854,0,0.0392435949918804,0.0317017286931076,0,0.0159359826735795,0.000179284889522718,0.00255387905052331,0.000411067805354099,0.000176474315435112,7.08354538303033e-06,4.97078136628498e-12,0.541652136353924
"ENSG00000003393",0.031516176988795,0.0528026641758704,0.60381634184345,0.0639820574091217,0.0699759866959164,0,0.0277579637019946,0.017204680006996,0.00128562521463755,0.00855192654923448,0.00241389665966407,6.57227636147666e-05,3.67228951033344e-12,0.120626957987033
"ENSG00000003402",0.105783664989847,0.119626297379487,0.528704409849358,0.0210526778179494,0.0256847026795386,1.9971934907206e-10,0.0155548010796317,4.74903308948645e-05,0.000609338739472637,0.000146662875677973,0.00143715987115892,2.97441807896813e-05,1.19678952760885e-11,0.181323049994507
"ENSG00000003436",0.156899015140965,0.170149857140563,0.0716114188121474,0.0475343716182296,0.0158012862986528,0.150666430840703,0.0591281235959075,7.40475229531486e-05,0.000160515093783388,1.61474355934752e-05,0.000897914799717236,0.000159909361862028,2.31316778586913e-09,0.326900960025754
"ENSG00000003509",0.31605226538272,0.12405911954418,0.075293670425816,0.0760655018047781,0.0122139864860565,0,0.0544692846365208,0.019850486831921,0.0100853853077821,0.000426115940440278,0.00109855110136603,9.97684700193281e-07,7.45211844007788e-12,0.310384634846267
"ENSG00000003756",0.231084022641367,0.0824438810004605,0.147044915301133,0.0285222067549698,0.0321010367637709,0.322599867676878,0.0106233470265302,0.000155685890100011,0.00147893901487953,6.35938809914809e-05,4.00714974073353e-07,1.26568602480472e-05,1.27342651585646e-10,0.143869446346355
"ENSG00000003987",0.110239419284491,0.203542137849663,0.0272961564176845,0.18595157748933,0.209373208372324,8.44187472791318e-10,0.0688243711093062,0.00465601850765534,0.00340928767449016,0.00318773041120114,0.000335175958342197,0.000214134262128937,2.83168929874899e-09,0.182970778987506
