HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Ensembl gene ID
HGNC:23773	USF1P1	Approved	USF1P		ENSG00000226501
HGNC:12594	USF2	Approved		FIP, bHLHb12	ENSG00000105698
HGNC:30494	USF3	Approved	KIAA2018		ENSG00000176542
HGNC:12595	USH1A	Entry Withdrawn	USH1		
HGNC:12596	USH1B	Symbol Withdrawn			
HGNC:12597	USH1C	Approved	DFNB18	PDZ73, harmonin, NY-CO-37, NY-CO-38, PDZ-73, AIE-75, PDZD7C	ENSG00000006611
HGNC:12598	USH1D	Symbol Withdrawn			
HGNC:12599	USH1E	Entry Withdrawn			
HGNC:12600	USH1F	Symbol Withdrawn			
HGNC:16356	USH1G	Approved		Sans, FLJ33924, ANKS4A	ENSG00000182040
HGNC:22433	USH1H	Entry Withdrawn			
HGNC:37650	USH1J	Symbol Withdrawn			
HGNC:43724	USH1K	Entry Withdrawn			
HGNC:12601	USH2A	Approved	USH2	RP39	ENSG00000042781
HGNC:40606	USH2A-AS1	Approved			ENSG00000236292
HGNC:40605	USH2A-AS2	Approved			ENSG00000233620
HGNC:12602	USH2B	Entry Withdrawn			
HGNC:12603	USH2C	Symbol Withdrawn		USH2B	
HGNC:12604	USH3	Symbol Withdrawn			
HGNC:12606	USH3B	Symbol Withdrawn			
HGNC:24058	USHBP1	Approved		MCC2, AIEBP, FLJ38709	ENSG00000130307
HGNC:30904	USO1	Approved		TAP, VDP, p115	ENSG00000138768
HGNC:12607	USP1	Approved			ENSG00000162607
HGNC:12618	USP2	Approved		UBP41	ENSG00000036672
HGNC:48673	USP2-AS1	Approved		THY1-AS1, gLINC	ENSG00000245248
HGNC:12626	USP3	Approved			ENSG00000140455
HGNC:44140	USP3-AS1	Approved			ENSG00000259248
HGNC:14538	USP3L	Symbol Withdrawn		KIAA1063	
HGNC:12627	USP4	Approved	UNP	Unph	ENSG00000114316
HGNC:12628	USP5	Approved		IsoT	ENSG00000111667
HGNC:12629	USP6	Approved	HRP1, TRESMCR	Tre-2, TRE17, Tre2	ENSG00000129204
HGNC:16858	USP6NL	Approved	USP6NL-IT1	RNTRE, KIAA0019, TRE2NL, RN-tre	ENSG00000148429
HGNC:55251	USP6NL-AS1	Approved			ENSG00000271360
HGNC:44704	USP6NL-IT1	Symbol Withdrawn			
HGNC:12630	USP7	Approved	HAUSP		ENSG00000187555
HGNC:55379	USP7-AS1	Approved			ENSG00000260979
HGNC:12631	USP8	Approved		HumORF8, KIAA0055, UBPY, SPG59	ENSG00000138592
HGNC:13987	USP8P1	Approved	USP8P	KIAA0055-hom, D84394.7	ENSG00000214892
HGNC:54601	USP8P2	Approved			ENSG00000226340
HGNC:12632	USP9X	Approved		DFFRX, FAF, FAF-X, MRX99	ENSG00000124486
HGNC:12633	USP9Y	Approved		DFFRY, FAF-Y, AZFA	ENSG00000114374
HGNC:31741	USP9YP1	Approved			ENSG00000250951
HGNC:31742	USP9YP2	Approved			ENSG00000249501
HGNC:37739	USP9YP3	Approved			ENSG00000237023
HGNC:37740	USP9YP4	Approved			ENSG00000238154
HGNC:38418	USP9YP5	Approved			ENSG00000249634
HGNC:38078	USP9YP6	Approved	CDY24P		ENSG00000226116
HGNC:38079	USP9YP7	Approved			ENSG00000224485
HGNC:38424	USP9YP8	Approved			ENSG00000229416
HGNC:38435	USP9YP9	Approved			ENSG00000232614
HGNC:38454	USP9YP10	Approved			ENSG00000238135
HGNC:38460	USP9YP11	Approved			ENSG00000226369
HGNC:38720	USP9YP12	Approved			ENSG00000227871
HGNC:38721	USP9YP13	Approved			ENSG00000224571
HGNC:38748	USP9YP14	Approved			ENSG00000227494
HGNC:38751	USP9YP15	Approved			ENSG00000233120
HGNC:38752	USP9YP16	Approved			ENSG00000232744
HGNC:38753	USP9YP17	Approved			ENSG00000229553
HGNC:38754	USP9YP18	Approved			ENSG00000223407
HGNC:38755	USP9YP19	Approved			ENSG00000225326
HGNC:38767	USP9YP20	Approved			ENSG00000230854
HGNC:38757	USP9YP21	Approved			ENSG00000227635
HGNC:38758	USP9YP22	Approved			ENSG00000224408
HGNC:38759	USP9YP23	Approved			ENSG00000223555
HGNC:38760	USP9YP24	Approved			ENSG00000230814
HGNC:38761	USP9YP25	Approved			ENSG00000224866
HGNC:38762	USP9YP26	Approved			ENSG00000234744
HGNC:38763	USP9YP27	Approved			ENSG00000235521
HGNC:38764	USP9YP28	Approved			ENSG00000224151
HGNC:38765	USP9YP29	Approved			ENSG00000232424
HGNC:38766	USP9YP30	Approved			ENSG00000235004
HGNC:38775	USP9YP31	Approved			ENSG00000229250
HGNC:38776	USP9YP32	Approved			ENSG00000237616
HGNC:38777	USP9YP33	Approved			ENSG00000232064
HGNC:38778	USP9YP34	Approved			ENSG00000233378
HGNC:38779	USP9YP35	Approved			ENSG00000237467
HGNC:38780	USP9YP36	Approved			ENSG00000229709
HGNC:12608	USP10	Approved		UBPO, KIAA0190	ENSG00000103194
HGNC:31752	USP10P1	Approved			
HGNC:33272	USP10P2	Approved			
HGNC:56965	USP10P3	Approved			ENSG00000215268
HGNC:12609	USP11	Approved		UHX1	ENSG00000102226
HGNC:20485	USP12	Approved	USP12L1		ENSG00000152484
HGNC:39961	USP12-AS1	Approved	USP12-DT	USP12-AS2	ENSG00000232162
HGNC:39962	USP12-DT	Symbol Withdrawn	USP12-AS2		
HGNC:12610	USP12P1	Approved	UBH1, USP12		ENSG00000253213
HGNC:54575	USP12P2	Approved			ENSG00000224007
HGNC:54576	USP12P3	Approved			
HGNC:21410	USP12PX	Approved	USP12P2		ENSG00000226081
HGNC:23195	USP12PY	Approved	USP12P3		ENSG00000232927
HGNC:12611	USP13	Approved		IsoT-3	ENSG00000058056
HGNC:12612	USP14	Approved		TGT, Ubp6	ENSG00000101557
HGNC:12613	USP15	Approved		KIAA0529, UNPH4	ENSG00000135655
HGNC:12614	USP16	Approved		Ubp-M	ENSG00000156256
HGNC:37182	USP17L1	Approved	USP17L1P		ENSG00000230549
HGNC:34434	USP17L2	Approved		DUB3	ENSG00000223443
HGNC:37175	USP17L3	Approved		USP17B, USP17F	ENSG00000225327
HGNC:37176	USP17L4	Approved			ENSG00000236125
HGNC:37177	USP17L5	Approved			ENSG00000227140
HGNC:37179	USP17L6P	Approved		DUB4, vDUB4, USP17L6	ENSG00000205946
HGNC:37180	USP17L7	Approved			ENSG00000226430
HGNC:37181	USP17L8	Approved			ENSG00000237038
HGNC:12615	USP17L9P	Approved	USP17	RS447	ENSG00000251694
HGNC:44438	USP17L10	Approved			ENSG00000231396
HGNC:44439	USP17L11	Approved			ENSG00000233136
HGNC:44440	USP17L12	Approved			ENSG00000227551
HGNC:44441	USP17L13	Approved			ENSG00000232399
HGNC:44442	USP17L14P	Approved			ENSG00000249482
HGNC:44443	USP17L15	Approved			ENSG00000223569
HGNC:44444	USP17L16P	Approved			ENSG00000250231
HGNC:44445	USP17L17	Approved			ENSG00000249104
HGNC:44446	USP17L18	Approved			ENSG00000250844
HGNC:44447	USP17L19	Approved			ENSG00000248920
HGNC:44448	USP17L20	Approved			ENSG00000250745
HGNC:44449	USP17L21	Approved			ENSG00000249811
HGNC:44450	USP17L22	Approved			ENSG00000248933
HGNC:44451	USP17L23	Approved			ENSG00000250913
HGNC:44453	USP17L24	Approved			ENSG00000232264
HGNC:44452	USP17L25	Approved			ENSG00000230430
HGNC:44454	USP17L26	Approved			ENSG00000229579
HGNC:44455	USP17L27	Approved			ENSG00000235780
HGNC:44456	USP17L28	Approved			ENSG00000231051
HGNC:44457	USP17L29	Approved			ENSG00000231637
HGNC:44458	USP17L30	Approved			ENSG00000228856
HGNC:12616	USP18	Approved			ENSG00000184979
HGNC:12617	USP19	Approved		KIAA0891, ZMYND9	ENSG00000172046
HGNC:12619	USP20	Approved		KIAA1003	ENSG00000136878
HGNC:12620	USP21	Approved	USP23	USP16	ENSG00000143258
HGNC:54618	USP21P1	Approved			ENSG00000224826
HGNC:54650	USP21P2	Approved			ENSG00000271356
HGNC:12621	USP22	Approved	USP3L	KIAA1063	ENSG00000124422
HGNC:12622	USP23	Symbol Withdrawn			
HGNC:12623	USP24	Approved		KIAA1057	ENSG00000162402
HGNC:42014	USP24P1	Approved			ENSG00000229375
HGNC:12624	USP25	Approved		USP21	ENSG00000155313
HGNC:13485	USP26	Approved			ENSG00000134588
HGNC:13486	USP27X	Approved		USP27	ENSG00000273820
HGNC:27249	USP27X-DT	Approved	USP27X-AS1		ENSG00000234390
HGNC:12625	USP28	Approved		KIAA1515	ENSG00000048028
HGNC:18563	USP29	Approved			ENSG00000131864
HGNC:20065	USP30	Approved		MGC10702, FLJ40511	ENSG00000135093
HGNC:40909	USP30-AS1	Approved			ENSG00000256262
HGNC:20060	USP31	Approved		KIAA1203	ENSG00000103404
HGNC:19143	USP32	Approved		NY-REN-60, USP10	ENSG00000170832
HGNC:43570	USP32P1	Approved			ENSG00000188933
HGNC:30751	USP32P2	Approved		TL132	ENSG00000233327
HGNC:43576	USP32P3	Approved			ENSG00000189423
HGNC:43577	USP32P4	Approved			ENSG00000263887
HGNC:20059	USP33	Approved		KIAA1097, VDU1	ENSG00000077254
HGNC:20066	USP34	Approved		KIAA0570, KIAA0729	ENSG00000115464
HGNC:55262	USP34-DT	Approved		AC016727.1	ENSG00000270820
HGNC:20061	USP35	Approved		KIAA1372	ENSG00000118369
HGNC:20062	USP36	Approved		KIAA1453, FLJ12851	ENSG00000055483
HGNC:20063	USP37	Approved		KIAA1594	ENSG00000135913
HGNC:55020	USP37P1	Approved			ENSG00000270826
HGNC:20067	USP38	Approved		KIAA1891, HP43.8KD	ENSG00000170185
HGNC:55554	USP38-DT	Approved			ENSG00000250326
HGNC:20071	USP39	Approved		SAD1, CGI-21, SNRNP65	ENSG00000168883
HGNC:20069	USP40	Approved		FLJ10785	ENSG00000085982
HGNC:20070	USP41P	Approved	USP41	USP18B	ENSG00000161133
HGNC:20068	USP42	Approved		FLJ12697	ENSG00000106346
HGNC:20072	USP43	Approved		FLJ30626	ENSG00000154914
HGNC:20064	USP44	Approved		FLJ14528	ENSG00000136014
HGNC:20080	USP45	Approved		MGC14793	ENSG00000123552
HGNC:20075	USP46	Approved		FLJ12552	ENSG00000109189
HGNC:43991	USP46-DT	Approved	USP46-AS1		ENSG00000248866
HGNC:20076	USP47	Approved			ENSG00000170242
